 9XX 100 704 131 200.00   0.00 SS 000   3
  15.9800  35.0200  2
  15.0800  35.0600  2
  15.0300  35.9800  2
  15.0500  35.0300  3
  14.0400  35.0200  2
  15.0300  29.0300  3
  15.0600  30.0300  2
  15.0100  31.0200  2
  16.0600  30.0500  3
  15.0600  30.0400  2
  14.0500  29.9900  2
  15.0500  24.0300  3
  15.0600  24.9700  2
  15.0200  25.9900  2
  16.0200  25.0100  3
  15.0800  25.0000  2
  14.0300  25.0000  2
  15.0100  19.0300  3
  15.0200  20.0300  2
  15.0600  21.0200  2
  16.0400  19.9900  3
  15.0300  20.0200  2
  14.0000  19.9600  2
  15.0400  14.0100  3
  15.0300  15.0400  2
  15.0100  15.9900  2
  16.0000  15.0300  3
  15.0600  15.0200  2
  14.0200  15.0000  2
  15.0100   9.0200  3
  15.0100  10.0000  2
  14.9800  10.9900  2
  16.0000  10.0200  3
  15.0100  10.0000  2
  14.0000  10.0100  2
  15.0400   4.0400  3
  15.0100   5.0300  2
  15.0000   6.0200  2
  16.0300   5.0400  3
  15.0400   4.9900  2
  14.0400   5.0000  2
  10.0600   4.0300  3
  10.0200   5.0100  2
  10.0300   6.0200  2
  10.9400   5.0100  3
  10.0100   5.0100  2
   9.0200   5.0300  2
  10.0300  14.0200  3
   9.9800  14.9700  2
  10.0300  16.0300  2
  11.0000  15.0100  3
   9.9700  15.0300  2
   9.0000  15.0200  2
   9.0300  15.0100  3
  10.0000  19.0000  3
  10.0000  20.0000  2
  10.0000  21.0000  2
   9.0000  20.0000  2
  10.0000  20.0000  2
  11.0000  20.0000  2
  99.0000   0.0000  3
 9XX 101 704  41 200.00   0.00 NO 000   1
   4.6700  35.8700  3
   5.3500  35.8900  2
   6.0300  36.3200  2
   6.8600  37.4000  2
   5.7700  37.4800  3
   6.7400  37.8800  2
   7.1100  37.9600  2
   7.5200  37.9300  2
   9.1700  39.1600  2
   9.1600  39.7000  2
  10.2900  40.4400  2
  11.2600  40.2400  2
  12.3600  39.8400  2
  12.5500  39.8800  2
  12.6900  40.2000  2
  13.4300  40.1000  2
  13.4400  40.2500  3
  14.5100  40.0800  2
  15.0400  39.7700  2
  15.3200  39.7300  2
  15.0600  39.8900  3
  15.8200  39.2000  2
  16.6000  39.0500  2
  17.6200  38.7000  2
  18.4600  37.9000  2
  19.1900  37.3100  2
  20.8000  37.1800  2
  21.3800  37.1500  3
  22.3200  36.5700  2
  22.7600  35.9000  2
  23.9400  35.4000  2
  24.9400  34.8600  2
  26.1600  34.1900  2
  27.2400  33.5500  2
  28.1700  32.9700  2
  28.7700  32.7000  2
  29.2600  32.6000  2
  29.5600  32.4300  2
  29.9800  32.5200  2
  30.4600  32.3100  2
  30.4600  32.3100  3
  99.0000   0.0000  3
 70X 501 704 200 135.00   0.00 NO 000   3
  14.3200  11.8700  3
  14.1100  12.1000  2
  13.7000  12.1900  2
  14.4300  12.4800  3
  14.0600  12.5300  2
  13.3200  12.2900  2
  13.3700  13.5400  3
  13.7400  13.3600  2
  14.0000  13.2000  3
  14.2800  13.0000  2
  14.7600  12.7300  3
  15.0400  12.5700  2
  15.5900  12.1900  3
  15.9400  11.9200  2
  16.3000  11.4400  3
  16.4700  11.2000  2
  18.5500   8.7600  3
  18.2800   9.0600  2
  17.8000   9.4900  2
  17.3400  10.0800  2
  17.1500  10.3900  2
  18.6300   8.9100  3
  18.5800   9.1100  2
  18.2700   9.6100  2
  17.9200  10.0300  2
  17.5500  10.4800  2
  17.3200  10.7900  2
  17.0700  11.0700  2
  19.2400  10.1600  3
  18.7800  10.4600  2
  18.4400  10.6300  2
  17.9100  10.8200  2
  17.6300  11.1000  2
  20.0400  10.3800  3
  19.5400  10.5600  2
  19.2500  10.7300  2
  18.7700  10.9700  2
  18.2700  11.2400  2
  17.8000  11.5200  2
  17.5500  11.6700  2
  19.0500  11.0700  3
  18.6500  11.2700  2
  18.2700  11.4200  2
  18.0500  11.5600  2
  20.0100  11.3700  3
  19.6200  11.4200  2
  19.4200  11.5600  2
  19.1400  11.5800  2
  18.5900  11.8000  2
  20.0100  11.3700  3
  19.6800  11.6500  2
  19.2700  11.9100  2
  18.9700  12.0300  2
  21.5500  11.2500  3
  21.2100  11.3300  2
  20.7800  11.5200  2
  20.3600  11.6900  2
  20.0200  11.8600  2
  19.5500  12.1100  2
  19.1700  12.3200  2
  19.0400  12.4100  3
  18.5800  12.4700  2
  18.1300  12.6300  2
  17.7500  12.7300  2
  17.3700  12.8600  2
  16.7800  13.0500  2
  16.2400  13.1600  2
  15.5200  13.2200  2
  15.0400  13.3500  2
  14.6800  13.6200  2
  14.2000  13.8900  2
  13.9600  14.1100  2
  22.8600  10.3600  3
  22.3900  10.5100  2
  22.0900  10.6200  2
  21.8200  10.7600  2
  21.5500  10.9500  2
  13.2900  39.2900  3
  13.1800  39.4600  2
  13.1400  39.7200  2
  13.1100  39.9000  2
  13.5600  39.2600  3
  13.4500  39.4800  2
  13.3100  39.6900  2
  13.2700  39.8300  2
  13.8000  39.2900  3
  13.6900  39.5800  2
  13.5700  39.8400  2
  13.5200  39.9400  2
  13.9300  39.4500  3
  13.9200  39.6400  2
  13.7900  39.7100  2
  13.7500  39.9900  2
  24.6400  33.3700  3
  24.2400  33.7700  2
  23.7400  34.0200  2
  23.3000  34.3800  2
  23.0300  34.6500  2
  24.4600  34.4400  3
  24.0300  34.7300  2
  23.7200  34.9300  2
  23.4400  35.1200  2
  23.2600  35.2200  2
  24.0600  33.7600  3
  24.1100  33.8700  2
  24.5900  33.4200  3
  24.6200  33.4600  2
  23.3200  34.4100  3
  23.3600  34.5100  2
  24.0800  34.6700  3
