 9XX 500 907 200 600.00   0.00 CS 000   7
 -13.0100  45.2300  2
 -13.0100  45.2200  2
 -13.0200  45.2100  2
 -13.0200  45.1900  2
 -13.0200  45.1800  2
 -13.0100  45.1600  2
 -13.0100  45.1500  2
 -13.0100  45.1400  2
 -13.0000  45.1200  2
 -12.9900  45.1100  2
 -12.9800  45.1100  2
 -12.9700  45.1200  2
 -12.9500  45.1200  2
 -12.9300  45.1200  2
 -12.9200  45.1200  2
 -12.9000  45.1200  2
 -12.8800  45.1200  2
 -12.8700  45.1200  2
 -12.8500  45.1200  2
 -12.8400  45.1100  2
 -12.8300  45.1100  2
 -12.8100  45.1000  2
 -12.8100  45.0900  2
 -12.8000  45.0800  2
 -12.7900  45.0700  2
 -12.7900  45.0600  2
 -12.7700  45.0500  2
 -12.7600  45.0600  2
 -12.7400  45.0600  2
 -12.7300  45.0700  2
 -12.7300  45.0800  2
 -12.7400  45.1000  2
 -12.7400  45.1200  2
 -12.7400  45.1300  2
 -12.7500  45.1400  2
 -12.7600  45.1500  2
 -12.7600  45.1600  2
 -12.7700  45.1800  2
 -12.7700  45.1900  2
 -12.7800  45.2000  2
 -12.7800  45.2200  2
 -12.7900  45.2200  2
 -12.8000  45.2300  2
 -12.8100  45.2400  2
 -16.2700  44.3100  3
 -16.1700  44.3700  2
 -16.1600  44.3900  2
 -16.1700  44.4400  2
 -16.2000  44.5100  2
 -16.1800  44.8100  2
 -16.1100  44.8800  2
 -16.0400  44.9900  2
 -15.9900  45.0900  2
 -16.0900  45.1200  2
 -16.1200  45.1900  2
 -16.0000  45.2900  2
 -16.0400  45.4000  2
 -15.9300  45.5000  2
 -15.8100  45.5200  2
 -15.7700  45.6900  2
 -15.8300  45.7900  2
 -15.7200  45.9200  2
 -15.7500  46.0300  2
 -15.9400  46.1100  2
 -16.0600  46.2300  2
 -16.1000  46.3800  2
 -16.0700  46.5000  2
 -15.9100  46.4600  2
 -15.7500  46.2700  2
 -15.5800  46.2900  2
 -15.3800  46.4800  2
 -15.2500  46.7000  2
 -15.3100  46.8200  2
 -15.4300  46.8400  2
 -15.5400  46.8500  2
 -15.5500  47.0000  2
 -15.4900  47.1100  2
 -15.3700  47.0500  2
 -15.1600  46.9300  2
 -15.0500  47.0500  2
 -14.8600  47.2100  2
 -14.8100  47.1600  2
 -14.6900  47.2900  2
 -14.8100  47.3500  2
 -15.0300  47.3000  2
 -14.8800  47.4300  2
 -14.6800  47.5900  2
 -14.6900  47.7500  2
 -14.6600  47.8400  2
 -14.5900  47.8000  2
 -14.5500  47.6400  2
 -14.4100  47.5500  2
 -14.3000  47.5900  2
 -14.1000  47.7500  2
 -14.2000  47.8400  2
 -13.9800  47.8600  2
 -13.8500  47.8000  2
 -13.6300  47.7500  2
 -13.5600  47.8000  2
 -13.6200  47.9900  2
 -13.8200  48.0700  2
 -13.6700  48.1600  2
 -13.5700  48.2300  2
 -13.4800  48.3000  2
 -13.2900  48.3300  2
 -13.3900  48.4600  2
 -13.2800  48.6300  2
 -13.0200  48.7200  2
 -12.7700  48.7400  2
 -12.6100  48.7400  2
 -12.4500  48.6300  2
 -12.4800  48.7200  2
 -12.2600  48.8900  2
 -12.1700  49.0200  2
 -12.3600  49.2300  2
 -12.6000  49.4000  2
 -12.7800  49.5900  2
 -12.7700  49.5900  2
 -13.0100  49.7200  2
 -13.2600  49.7800  2
 -13.4600  49.8100  2
 -13.7600  49.9100  2
 -14.0500  49.9500  2
 -14.3300  54.0300  2
 -14.5900  54.0500  2
 -14.8800  54.1000  2
 -15.1500  54.2300  2
 -15.4200  54.2600  2
 -15.6900  54.2300  2
 -15.9000  54.1400  2
 -15.9300  49.9900  2
 -15.6900  49.8800  2
 -15.4300  49.8100  2
 -15.4500  49.6400  2
 -15.8500  49.5800  2
 -16.1300  49.5800  2
 -16.3400  49.7000  2
 -16.6300  49.7000  2
 -16.8200  49.6200  2
 -16.9300  49.5100  2
 -17.1900  49.3700  2
 -17.5000  49.3200  2
 -17.7500  49.3200  2
 -18.0800  49.2700  2
 -18.3700  49.2100  2
 -18.6500  49.1500  2
 -18.9300  49.0500  2
 -19.1700  48.9500  2
 -19.1800  48.9100  2
 -19.3300  48.8900  2
 -19.5100  48.8300  2
 -19.7300  48.7600  2
 -19.9600  48.6800  2
 -20.2500  48.5900  2
 -20.4300  48.5200  2
 -20.7400  48.3800  2
 -21.1400  48.3000  2
 -21.4200  48.2100  2
 -21.7900  48.1000  2
 -22.0900  47.9700  2
 -22.4900  47.8400  2
 -22.7600  47.7700  2
 -22.9600  47.7100  2
 -23.2400  47.6600  2
 -23.5200  47.5700  2
 -23.7900  47.5100  2
 -24.0800  47.4400  2
 -24.3400  47.2900  2
 -24.5800  47.1900  2
 -24.7900  47.0600  2
 -24.9300  46.9700  2
 -25.0800  46.8000  2
 -25.1600  46.6300  2
 -25.1300  46.4800  2
 -25.1900  46.1900  2
 -25.2500  45.8900  2
 -25.4200  45.6000  2
 -25.5700  45.3100  2
 -25.6100  45.0600  2
 -25.4600  44.8600  2
 -25.3700  44.7100  2
 -25.2100  44.4500  2
 -25.0900  44.2100  2
 -24.9300  44.0000  2
 -24.7300  43.8500  2
 -24.5700  43.7300  2
 -24.2800  43.6200  2
 -23.9600  43.5700  2
 -23.7300  43.5700  2
 -23.5700  43.6400  2
 -23.3000  43.5600  2
 -23.0600  43.4600  2
 -22.9300  43.2900  2
 -22.6600  43.1700  2
 -22.4200  43.1700  2
 -22.2000  43.1400  2
 -21.8900  43.1400  2
 -21.8000  43.1900  2
 -21.7000  43.2700  2
 -21.5300  43.3400  2
 -21.4200  43.4000  2
 -21.2800  43.5200  2
 -21.2300  43.6700  2
 -21.0500  43.7200  2
 -20.7600  43.8300  2
 -20.4800  44.0000  2
 -20.2100  44.1500  2
 -20.0200  44.3200  2
 -19.8400  44.4000  2
 -19.6600  44.3600  2
 -19.5600  44.4400  2
 -19.4000  44.3800  2
 -19.1500  44.2300  2
 -18.8100  44.1300  2
 -18.5700  44.0700  2
 -18.3300  44.0200  2
 -18.0500  44.0000  2
 -17.8000  44.0000  2
 -17.6300  43.8800  2
 -17.5300  43.8100  2
 -17.4000  43.8800  2
 -17.1400  44.0500  2
 -16.7900  44.2200  2
 -16.5500  44.3200  2
 -16.3900  44.3100  2
 -16.2700  44.3100  2
 -20.9900  55.1200  3
 -20.9700  55.0400  2
 -20.9500  55.1500  2
 -20.9200  55.2800  2
 -20.8900  55.4300  2
 -20.9800  55.6000  2
 -21.1400  55.7100  2
 -21.2900  55.7100  2
 -21.3900  55.6800  2
 -21.4100  55.5100  2
 -21.3200  55.3400  2
 -21.1500  55.1900  2
 -20.9900  55.1200  2
 -20.0800  57.3900  3
 -20.0400  57.4100  2
 -20.0100  57.4900  2
 -19.9800  57.5600  2
 -20.0600  57.5700  2
 -20.1300  57.5700  2
 -20.2800  57.6400  2
 -20.4200  57.6100  2
 -20.4900  57.4900  2
 -20.5000  57.2900  2
 -20.3300  57.2600  2
 -20.1600  57.3300  2
 -20.0800  57.3900  2
  12.1700  52.2500  3
  12.1700  52.2500  2
  12.1700  52.2600  2
  12.1700  52.2700  2
  12.1600  52.2800  2
  12.1500  52.2900  2
  12.1500  52.2900  2
  12.1400  52.3000  2
  12.1400  52.3100  2
  12.1400  52.3200  2
  12.1400  52.3300  2
  12.1500  52.3400  2
  12.1500  52.3500  2
  12.1500  52.3600  2
  12.1400  52.3700  2
  12.1400  52.3800  2
  12.1300  52.3900  2
  12.1300  52.4000  2
  12.1300  52.4100  2
  12.1300  52.4200  2
  12.1300  52.4300  2
  12.1300  52.4400  2
  12.1400  52.4500  2
  12.1400  52.4500  2
  12.1500  52.4600  2
  12.1600  52.4700  2
  12.1600  52.4700  2
  12.1700  52.4800  2
  12.1800  52.4700  2
  12.1900  52.4700  2
  12.2000  52.4600  2
  12.2000  52.4600  2
  12.2100  52.4500  2
  12.2100  52.4400  2
  12.2100  52.4300  2
  12.2100  52.4200  2
  12.2100  52.4100  2
  12.2100  52.3900  2
  12.2000  52.3800  2
  12.2000  52.3800  2
  12.2000  52.3600  2
  12.2000  52.3500  2
  12.2000  52.3400  2
  12.2000  52.3300  2
  12.2000  52.3200  2
  12.2100  52.3100  2
  12.2100  52.2900  2
  12.2100  52.2800  2
  12.2100  52.2700  2
  12.2200  52.2600  2
  12.2200  52.2500  2
  12.2200  52.2400  2
  12.2200  52.2300  2
  12.2100  52.2200  2
  12.2100  52.2100  2
  12.2100  52.2000  2
  12.2200  52.1900  2
  12.2200  52.1800  2
  12.2300  52.1700  2
  12.2300  52.1600  2
  12.2300  52.1500  2
  12.2200  52.1400  2
  12.2100  52.1400  2
  12.2000  52.1400  2
  12.2000  52.1500  2
  12.1900  52.1500  2
  12.1900  52.1600  2
  12.1800  52.1700  2
  12.1800  52.1800  2
  12.1700  52.1900  2
  12.1700  52.2000  2
