 5XX 500 501 200 600.00   0.00 CS 000   7
  20.8800  71.2700  2
  20.8600  71.2400  2
  20.8500  71.2300  2
  20.8200  71.1200  2
  20.7800  70.9200  2
  20.8000  70.6900  2
  20.8000  70.5900  2
  20.8000  70.4400  2
  20.8200  70.3400  2
  20.8800  70.2800  2
  20.8800  70.2700  2
  20.9900  70.1300  2
  21.1400  69.9500  2
  21.3900  69.7100  2
  21.8100  69.2600  2
  21.8800  69.1700  2
  22.0800  68.9600  2
  22.3500  68.9200  2
  22.4300  69.0000  2
  22.3800  69.0800  2
  22.3200  69.1500  2
  22.3500  69.2600  2
  22.3700  69.3600  2
  22.3900  69.5000  2
  22.3900  69.6000  2
  22.4300  69.8200  2
  22.5500  70.0100  2
  22.7100  70.2000  2
  22.8800  70.2700  2
  23.0500  70.3400  2
  23.1400  70.2900  2
  23.1100  70.2000  2
  22.9800  70.1300  2
  22.9400  70.0100  2
  22.9200  69.9700  2
  22.9200  69.9500  2
  22.8500  69.6800  2
  22.8200  69.4300  2
  22.8200  69.2800  2
  22.8300  69.1300  2
  22.8600  68.9200  2
  22.9400  68.7500  2
  23.1200  68.5700  2
  23.2700  68.4300  2
  23.4300  68.3000  2
  23.5700  68.2300  2
  23.5700  68.1900  2
  23.5700  68.1400  2
  23.5800  68.1000  2
  23.6500  68.0900  2
  23.7200  68.0800  2
  23.7700  68.0200  2
  15.7400  73.6100  3
  15.7100  73.6400  2
  15.5700  73.6800  2
  15.4900  73.7100  2
  15.4600  73.7500  2
  15.5100  73.8100  2
  15.5000  73.9000  2
  15.4700  73.8900  2
  15.4000  73.8300  2
  15.3200  73.8200  2
  15.2100  73.8700  2
  15.0900  73.8900  2
  15.0100  73.9200  2
  14.9500  73.9400  2
  21.6300  88.8900  3
  21.6000  88.7800  2
  21.5900  88.7500  2
  21.6500  88.6900  2
  21.8100  88.6400  2
  21.7400  88.5900  2
  21.6100  88.5800  2
  21.6300  88.5000  2
  21.5600  88.4000  2
  21.5400  88.2600  2
  21.6700  88.1900  2
  21.6900  88.1400  2
  21.6800  88.1000  2
  21.7100  88.0800  2
  21.8200  88.0800  2
  21.8600  88.0800  2
  21.9300  88.0800  2
  22.0300  88.1100  2
  22.0800  88.1200  2
  22.0900  88.1200  2
  22.1100  88.1200  2
  22.1200  88.1200  2
  22.1300  88.0600  2
  22.0200  87.9600  2
  21.9200  87.9300  2
  21.7700  87.8400  2
  21.6900  87.7200  2
  21.6300  87.5400  2
  21.4400  87.1200  2
  21.3600  86.9600  2
  21.0900  86.8500  2
  20.8300  86.9300  2
  20.6800  86.9600  2
  20.4900  86.7700  2
  20.3800  86.7300  2
  20.2000  86.5700  2
  19.9400  86.2700  2
  19.8500  86.0400  2
  19.7600  85.7300  2
  19.6200  85.4600  2
  19.4600  85.1700  2
  19.2800  84.9400  2
  19.0100  84.7000  2
  18.7700  84.5000  2
  18.5300  84.3000  2
  18.3600  84.1100  2
  18.3500  84.0700  2
  18.2900  84.0200  2
  18.1700  83.8200  2
  17.9800  83.5600  2
  17.7300  83.3300  2
  17.5200  83.0100  2
  17.1700  82.5600  2
  17.0100  82.3200  2
  16.8400  82.2100  2
  16.6400  82.2100  2
  16.5000  82.1000  2
  16.3700  81.7500  2
  16.3400  81.6700  2
  16.3100  81.4300  2
  16.2400  81.2000  2
  16.2200  81.1600  2
  16.0100  81.0700  2
  15.7900  80.9400  2
  15.7200  80.8000  2
  15.8200  80.6200  2
  15.8100  80.4600  2
  15.7100  80.2800  2
  15.4700  80.1200  2
  15.2800  79.9800  2
  15.1500  79.9700  2
  14.8900  79.9800  2
  14.6700  80.0100  2
  14.6300  80.0400  2
  14.5900  80.0700  2
  14.5900  80.0800  2
  14.5500  80.0900  2
  14.3700  80.0900  2
  14.2600  80.0500  2
  14.1800  80.0400  2
  14.0200  80.0700  2
  13.8700  80.1100  2
  13.7200  80.1500  2
  13.6200  80.1700  2
  13.6900  80.1100  2
  13.6200  80.0600  2
  13.5800  80.1100  2
  13.4900  80.1400  2
  13.4100  80.2400  2
  13.2300  80.2700  2
  13.1600  80.2700  2
  13.0200  80.2500  2
  12.9600  80.2200  2
  12.7600  80.1700  2
  12.5300  80.1000  2
  12.2700  80.0000  2
  12.0900  79.9100  2
  11.8300  79.7900  2
