105104	809	210	227	26	2	6	212
105105	809	251	274	57	340	9	14
42134	206	224	234	79	59	14	14
91021	510	221	234	26	297	11	503
1083	146	217	242	56	96	14	14
1091	146	206	227	51	105	4	143
1084	101	223	233	48	99	3	258
51024	807	223	233	61	297	19	41
1082	106	221	227	61	89	3	130
62050	631	221	242	55	209	6	0
91024	510	221	227	22	287	4	30
42136	206	233	241	76	56	13	27
55162	907	242	260	66	292	6	96
1085	101	225	243	58	100	3	74
1092	146	227	242	49	105	5	751
41066	703	227	251	54	259	8	20
61019	437	227	242	49	13	4	0
62051	631	227	242	30	183	3	0
1094	146	242	251	47	114	2	999
1095	146	242	251	45	115	4	47
2063	301	230	251	49	146	15	14
2064	301	227	251	48	153	13	37
42145	201	247	260	63	149	12	4
53074	801	242	243	30	327	4	231
54140	501	242	251	-7	304	5	43
42146	201	253	260	86	114	11	17
62056	631	251	253	51	205	7	38
54141	501	242	251	-8	301	6	49
54142	501	245	253	-4	309	7	24
62057	631	251	260	52	243	0	15
53082	801	251	296	35	308	11	100
1087	106	242	251	57	98	5	85
1088	106	242	251	55	103	3	102
1089	106	242	251	57	100	6	368
1090	106	227	251	58	101	2	10
62058	631	245	260	48	225	5	0
93070	433	242	264	72	188	6	45
54145	501	251	256	24	281	20	10
1093	146	237	251	46	121	7	170
2066	301	245	251	59	146	7	44
2068	301	242	251	52	167	10	6
2069	301	242	251	49	159	11	6
2070	301	242	251	52	165	4	46
2071	301	242	251	52	145	3	20
2072	301	242	251	56	146	12	110
2073	301	242	251	51	151	1	106
2074	301	239	243	43	146	5	14
2075	301	242	251	53	158	4	31
61020	441	251	253	35	39	18	15
62053	631	242	251	46	219	11	23
62054	631	242	251	33	230	19	0
62055	631	242	251	39	211	4	30
92062	434	235	245	76	237	5	60
102027	631	242	251	35	342	7	0
61021	437	251	264	42	14	12	103
102028	655	210	256	-57	332	10	25
105106	809	242	274	4	354	7	48
62059	631	245	260	47	226	3	33
84133	508	242	251	22	326	14	30
62060	631	247	252	46	225	5	28
53078	801	243	263	44	312	6	26
53076	801	251	283	26	316	11	0
53077	801	251	283	37	335	6	0
2081	301	251	260	51	166	4	183
1097	101	251	260	55	119	15	39
1100	101	247	257	51	126	5	40
1098	106	260	274	53	112	8	238
2077	301	251	260	51	161	4	140
61022	437	253	274	57	355	21	35
