1	101	21	40	86	118	2
2	101	31	50	85.84	152.9	4.14
3	101	41	60	85.32	144.09	5.01
4	101	51	70	81.65	166.27	5.92
5	101	61	80	74.8	-177.73	4.91
6	101	71	90	69.59	-169.28	6.85
7	101	81	100	70	-152	9
8	101	91	110	71.61	-174.35	10
9	101	101	120	71.61	-174.35	10
10	101	111	130	67.23	-154.72	9.88
11	101	121	140	66.64	-159.72	7.59
12	101	131	150	65.55	162.91	16.09
13	101	141	160	66.88	144.69	8.72
14	101	151	170	71.44	117.16	9.02
15	101	161	180	69.96	103.12	6.32
16	101	171	190	67.87	101.84	8.81
17	101	181	200	65.21	86.2	3.54
18	101	191	210	63.82	83.44	4.16
19	101	201	220	59.24	82.29	6.53
20	101	211	230	56.04	88.15	6.32
21	101	221	240	52.06	95.6	7.16
22	101	231	250	56.17	103.58	4.38
23	101	241	260	54.79	110.17	4.93
24	102	41	60	63.57	177.95	4.13
25	102	51	70	62.95	-177.35	5.56
26	102	61	80	63.23	-157.92	14.79
27	102	71	90	67.17	-163.05	9.22
28	102	151	170	64.42	176.14	7.81
29	102	161	180	64.42	176.14	7.81
30	102	211	230	34	103	5
31	102	221	240	34	103	5
32	201	31	50	59	54	6
33	201	41	60	59	54	6
34	201	51	70	77	-162	6
35	201	61	80	83.86	168.69	17.47
36	201	71	90	83.02	-161.95	23.38
37	201	81	100	85	-141.79	20.46
38	201	91	110	89.3	19.64	4.15
39	201	101	120	86.75	-93.49	4.47
40	201	111	130	82.17	-139.55	9.77
41	201	121	140	80.65	-154.87	9.34
42	201	131	150	79	-172	11
43	201	141	160	85	83	9
44	201	151	170	85.8	50	10.82
45	201	161	180	85	17	6
46	201	181	200	67	66	5
47	201	191	210	70.77	74.26	13.93
48	201	201	220	74	86	13
49	201	211	230	77.59	102.89	17.27
50	201	221	240	76.67	110.57	13.14
51	201	231	250	74.87	120.3	17.69
52	201	241	260	78	39	14
53	301	31	50	79.13	-175.55	5.66
54	301	41	60	78.8	177.58	4.17
55	301	51	70	78.35	176.58	4.15
56	301	61	80	73.7	158.06	6.59
57	301	71	90	71.02	148.61	6.42
58	301	81	100	72.62	161.47	6.4
59	301	91	110	70.15	-151	6.4
60	301	101	120	62	-137	5
61	301	111	130	76	155	8
62	301	121	140	76	155	8
63	301	131	150	70.79	-168.14	5
64	301	141	160	70.02	-179.35	12.79
65	301	151	170	71.57	171.71	13.05
66	301	161	180	70.79	138.21	15.95
67	301	171	190	63.01	118.5	6.32
68	301	181	200	75.48	118	4.47
69	301	191	210	75.48	118	4.47
70	301	201	220	46.94	133.1	25.43
71	301	211	230	46.94	133.1	25.43
72	301	221	240	48.55	149.53	19.85
73	301	231	250	52.12	151.25	4.01
74	301	241	260	51.73	153.61	3.97
75	302	21	40	68.12	138.38	0
76	302	31	50	69.16	130.41	14.12
77	302	41	60	70	113	6
78	302	51	70	79.12	-168.12	8.25
79	302	61	80	77.91	-159.36	12.25
80	302	71	90	75.56	-168.06	11.09
81	302	81	100	71	175.31	9.43
82	302	91	110	73	179	3
83	302	101	120	73.11	-159.51	12.49
84	302	111	130	70.42	-118.97	28.12
85	302	121	140	71.51	74.29	86.73
86	302	131	150	70.04	92.43	53.78
87	302	141	160	77.24	-144.94	42.76
88	302	151	170	67.97	-133.04	55.06
89	302	161	180	37	81	13
90	302	171	190	60.24	-5.93	13.93
91	302	181	200	64.52	-82.81	8.6
92	302	191	210	65	143	7
93	302	201	220	62	114	7
94	302	211	230	66.18	145.4	7.62
95	302	221	240	54.36	-167.44	50.92
96	302	231	250	50.95	-163.7	75.55
97	302	241	260	53.49	-179.74	54.52
98	501	41	60	43.24	-47.01	17.49
99	501	51	70	38.42	-71.72	8.72
100	501	61	80	32.37	-76.61	8.88
101	501	71	90	4	-70	3
102	501	81	100	18	-63	3
103	501	91	110	18	-63	3
104	501	101	120	8	-63	3
105	501	111	130	8	-63	3
106	501	161	180	2	-52	8
107	501	171	190	2	-52	8
108	501	201	220	10	-50	5
109	501	211	230	10	-50	5
110	501	221	240	-7	-56	5
111	501	231	250	-6.34	-55.32	6.89
112	501	241	260	-5.43	-62.31	20.75
113	502	1	20	84.65	121.28	19.74
114	502	11	30	82.73	162.91	6.32
115	502	21	40	75	-140	6
116	502	41	60	62	-49	7
117	502	51	70	68.26	-88.19	14.76
118	502	61	80	63	-129	13
119	502	81	100	69.02	-84.24	10.63
120	502	91	110	69.02	-84.24	10.63
121	701	11	30	68	102	10
122	701	21	40	68	102	10
123	701	31	50	80.34	174.07	15.79
124	701	41	60	80.34	174.07	15.79
125	701	51	70	75	-135.73	9
126	701	61	80	68.79	-107.75	16.9
127	701	71	90	63.84	-100.17	7.48
128	701	81	100	66.43	-113.98	7.09
129	701	91	110	66.57	-127.75	13.44
130	701	101	120	62	-100	3
131	701	111	130	54.1	-97.3	10.02
132	701	121	140	50.59	-95.66	8.28
133	701	131	150	48	-93	3
134	701	141	160	54.03	-105.63	8.49
135	701	151	170	56.34	-101.44	28.11
136	701	161	180	51.8	-104.89	11.33
137	701	171	190	65.23	-111.7	8.68
138	701	181	200	69.6	-110.06	5.15
139	701	191	210	67.61	-111.08	9.82
140	701	201	220	59.89	-116.81	13
141	701	211	230	51	-109	12
142	701	221	240	54	-101	8
143	701	231	250	54	-101	8
144	801	31	50	62.89	-64.78	14.39
145	801	41	60	60.62	-59.65	12.01
146	801	51	70	55.51	-51.25	6.4
147	801	81	100	56	-42	5
148	801	91	110	52.09	-26.92	12.88
149	801	101	120	49.45	-24.01	6.27
150	801	111	130	49	-31	4
