 93X5012 304 154 200   0 BA 100 5
  54.70 -20.30  2
  54.71 -20.30  2
  54.73 -20.38  2
  54.77 -20.36  2
  54.82 -20.30  2
  54.87 -20.27  2
  54.88 -20.35  2
  54.94 -20.35  2
  54.99 -20.30  2
  55.02 -20.32  2
  55.07 -20.28  2
  55.14 -20.27  2
  55.16 -20.38  2
  55.15 -20.48  2
  55.18 -20.59  2
  55.18 -20.59  2
  55.27 -20.64  2
  55.32 -20.71  2
  55.38 -20.81  2
  55.43 -20.89  2
  55.44 -20.96  2
  55.50 -20.86  2
  55.57 -20.76  2
  55.63 -20.74  2
  55.67 -20.66  2
  55.69 -20.60  2
  55.74 -20.52  2
  55.77 -20.56  2
  55.77 -20.55  3
  99.00   0.00  3
 91X  81 304  50 200   0 MA 000 2
  58.49 -13.51  3
  58.48 -13.68  2
  58.48 -13.85  2
  58.44 -14.20  2
  58.43 -14.50  2
  58.42 -14.82  2
  58.40 -15.20  2
  58.39 -15.43  2
  58.22 -15.53  2
  58.06 -15.55  2
  57.86 -15.67  2
  57.71 -15.71  2
  57.60 -15.74  2
  57.55 -15.75  2
  57.54 -15.80  2
  57.55 -15.64  2
  57.57 -15.31  2
  57.57 -15.17  2
  57.40 -15.30  2
  57.26 -15.51  2
  57.07 -15.70  2
  56.94 -15.82  2
  56.81 -15.98  2
  56.78 -16.18  2
  56.77 -16.40  2
  56.76 -16.62  2
  56.89 -16.48  2
  57.11 -16.25  2
  57.25 -16.10  2
  57.38 -16.31  2
  57.25 -16.64  2
  57.09 -17.04  2
  56.93 -17.26  2
  56.78 -17.48  2
  56.53 -17.55  2
  56.30 -17.59  2
  56.00 -17.74  2
  55.73 -17.84  2
  55.54 -17.96  2
  55.38 -18.09  2
  55.34 -18.18  2
  55.16 -18.45  2
  54.98 -18.68  2
  54.76 -18.97  2
  54.59 -19.25  2
  54.41 -19.53  2
  54.23 -19.79  2
  54.08 -19.97  2
  53.98 -19.99  2
  57.02 -10.83  3
  99.00   0.00  3
 91X 140 304  33 200   0 MA 000 3
  58.43 -13.50  3
  58.37 -13.44  2
  58.25 -13.25  2
  58.07 -13.08  2
  57.88 -12.87  2
  57.66 -12.85  2
  57.40 -13.01  2
  57.15 -13.16  2
  56.98 -13.25  2
  56.81 -13.47  2
  56.65 -13.60  2
  56.38 -13.96  2
  56.14 -14.39  2
  55.96 -14.69  2
  55.72 -15.19  2
  55.48 -15.70  2
  55.30 -16.05  2
  55.12 -16.48  2
  54.96 -16.84  2
  54.80 -17.17  2
  54.66 -17.47  2
  54.50 -17.85  2
  54.39 -18.09  2
  54.25 -18.41  2
  54.11 -18.73  2
  54.02 -18.95  2
  53.92 -19.21  2
  53.83 -19.46  2
  53.80 -19.68  2
  53.84 -19.77  2
  53.89 -19.91  2
  53.95 -19.93  2
  49.33 -21.35  3
  99.00   0.00  3
 91X 141 304  54 100   0 MA 000 3
  57.45 -12.00  3
  57.38 -12.06  2
  57.33 -12.12  2
  57.11 -12.32  2
  56.90 -12.52  2
  56.72 -12.71  2
  56.45 -12.90  2
  56.17 -13.13  2
  55.97 -13.36  2
  55.68 -13.59  2
  55.42 -13.87  2
  55.23 -14.03  2
  55.03 -14.23  2
  54.90 -14.37  2
  54.77 -14.53  2
  54.73 -14.60  2
  54.78 -14.76  2
  54.86 -15.01  2
  54.91 -15.17  2
  54.82 -15.29  2
  54.71 -15.43  2
  54.60 -15.58  2
  54.53 -15.64  2
  54.61 -15.90  2
  54.65 -16.05  2
  54.68 -16.15  2
  54.55 -16.32  2
  54.45 -16.41  2
  54.34 -16.56  2
  54.21 -16.70  2
  54.05 -16.87  2
  54.00 -16.93  2
  54.05 -17.06  2
  54.08 -17.15  2
  53.99 -17.24  2
  53.90 -17.32  2
  53.82 -17.42  2
  53.79 -17.45  2
  53.83 -17.60  2
  53.85 -17.66  2
  53.69 -17.79  2
  53.54 -17.85  2
  53.34 -18.01  2
  53.20 -18.09  2
  53.04 -18.23  2
  52.89 -18.41  2
  52.70 -18.53  2
  52.61 -18.58  2
  52.50 -18.67  2
  52.37 -18.74  2
  52.28 -18.80  2
  52.19 -18.85  2
  52.15 -18.88  2
  52.14 -18.88  3
  99.00   0.00  3
