 9050001 402 137 250   0 BS 000 2
  73.88 136.21 2
  73.89 136.08 2
  73.96 135.97 2
  74.03 135.75 2
  74.09 135.67 2
  74.15 135.50 2
  74.17 135.42 2
  74.24 135.43 2
  74.24 135.54 2
  74.15 135.68 2
  74.09 135.85 2
  74.05 135.98 2
  74.06 136.01 2
  75.55 135.85 3
  75.51 135.81 2
  75.49 135.79 2
  75.47 135.73 2
  75.42 135.78 2
  75.38 135.80 2
  75.35 135.72 2
  75.35 135.63 2
  75.38 135.48 2
  75.43 135.42 2
  75.47 135.46 2
  75.50 135.41 2
  75.54 135.46 2
  75.62 135.50 2
  75.69 135.46 2
  75.74 135.50 2
  75.80 135.51 2
  75.85 135.51 2
  75.82 135.52 2
  75.79 135.56 2
  75.76 135.65 2
  75.67 135.72 2
  75.63 135.86 2
  75.62 135.98 2
  75.60 135.95 2
  75.57 135.89 2
  75.55 135.85 2
  73.36 140.03 3
  73.37 139.84 2
  72.37 147.87 3
  72.36 148.03 2
  72.34 148.12 3
  72.34 148.13 2
  72.35 148.21 2
  72.36 148.38 2
  72.36 148.49 2
  72.34 148.64 2
  72.31 148.85 2
  72.28 148.96 2
  72.27 149.05 2
  72.26 149.24 2
  72.22 149.45 2
  72.19 149.61 2
  72.15 149.79 2
  73.05 129.34 3
  73.02 129.45 2
  72.99 129.46 2
  72.97 129.52 2
  72.94 129.47 2
  72.90 129.46 2
  72.88 129.43 2
  72.88 129.31 2
  72.83 129.34 2
  72.74 129.42 3
  72.38 129.63 3
  70.90 130.47 3
  70.90 130.60 2
  70.85 130.71 2
  70.86 130.84 2
  70.94 130.86 2
  70.92 130.94 2
  70.85 131.00 2
  70.81 131.05 2
  70.73 131.12 2
  70.71 131.22 2
  70.69 131.34 2
  70.78 131.40 2
  70.86 131.58 2
  70.97 131.64 2
  71.01 131.73 2
  71.14 131.90 2
  71.17 132.03 2
  71.24 132.02 2
  71.37 132.01 2
  71.44 132.05 2
  71.54 132.08 2
  71.63 132.22 2
  71.73 132.35 2
  71.81 132.44 2
  71.87 132.52 2
  71.95 132.63 2
  71.97 132.73 2
  71.95 132.76 2
  71.87 132.78 2
  71.81 132.84 2
  71.75 132.90 2
  71.72 133.01 2
  71.69 133.09 2
  71.65 133.16 2
  71.61 133.21 2
  71.56 133.27 2
  71.52 133.42 2
  71.47 133.57 2
  71.41 133.68 2
  71.40 133.84 2
  71.42 134.05 2
  71.41 134.23 2
  71.41 134.36 2
  71.40 134.55 2
  71.42 134.63 2
  71.38 134.72 2
  71.34 134.82 2
  71.38 134.83 2
  71.45 134.78 2
  71.51 134.82 2
  71.57 134.91 2
  71.62 135.02 2
  71.63 135.19 2
  71.63 135.36 2
  71.64 135.58 2
  71.60 135.79 2
  71.59 135.96 2
  71.54 136.06 2
  71.53 136.27 2
  71.51 136.37 2
  71.52 136.51 2
  71.52 136.60 2
  71.51 136.62 2
  71.49 136.73 2
  71.46 136.86 2
  71.40 137.12 2
  71.40 137.25 2
  71.36 137.41 2
  71.30 137.48 2
  71.28 137.63 2
  71.23 137.63 2
  71.20 137.72 2
  71.18 137.86 2
  71.14 137.97 2
  71.18 138.06 2
  71.18 138.27 2
  71.24 138.33 2
  71.28 138.49 2
  71.33 138.58 2
  71.37 138.72 2
  71.38 138.74 2
  71.38 138.76 2
  71.40 138.85 2
  71.42 138.94 2
  71.40 138.98 2
  71.44 139.07 2
  71.42 139.21 2
  71.40 139.33 2
  71.42 139.34 2
  71.49 139.43 2
  71.51 139.45 2
  71.47 139.64 2
  71.44 139.82 2
  71.44 139.98 2
  71.49 140.04 2
  71.56 140.03 2
  71.60 139.98 2
  71.66 139.82 2
  71.74 139.73 2
  71.81 139.72 2
  71.85 139.71 2
  71.85 139.88 2
  71.91 139.86 2
  71.95 139.80 2
  71.98 139.75 2
  72.02 139.77 2
  72.10 139.91 2
  72.13 140.01 2
  72.17 140.15 2
  72.18 140.37 2
  72.24 140.51 2
  72.31 140.65 2
  72.40 140.69 2
  72.45 140.72 2
  72.50 140.82 2
  72.56 141.01 2
  72.58 141.16 2
  72.61 141.12 2
  72.64 141.01 2
  72.69 141.00 2
  72.74 140.81 2
  72.78 140.83 2
  72.83 140.98 2
  72.83 141.12 2
  72.82 141.28 2
  72.81 141.35 2
  72.79 141.47 2
  72.75 141.55 2
  72.72 141.70 2
  72.72 141.86 2
  72.71 141.98 2
  72.71 142.02 2
  72.71 142.07 2
  72.70 142.20 2
  72.70 142.48 2
  72.68 142.70 2
  72.69 142.90 2
  72.69 143.10 2
  72.69 143.29 2
  72.69 143.53 2
  72.66 143.77 2
  72.66 144.01 2
  72.66 144.25 2
  72.65 144.53 2
  72.62 144.67 2
  72.59 144.83 2
  72.57 144.97 2
  72.57 145.24 2
  72.55 145.52 2
  72.54 145.71 2
  72.55 145.82 2
  72.52 145.91 2
  72.48 146.09 2
  72.44 146.21 2
  72.43 146.35 2
  72.44 146.50 2
  72.41 146.62 2
  72.37 146.74 2
  72.34 147.17 2
  72.37 147.36 2
  72.37 147.54 2
  72.36 147.67 2
  72.33 148.11 3
  72.09 149.85 3
  72.02 149.96 2
  71.96 150.03 2
  71.90 150.05 2
  71.84 150.04 2
  71.83 149.93 2
  71.80 149.80 2
  71.85 149.69 2
  71.88 149.58 2
  71.90 149.47 2
  71.87 149.35 2
  71.81 149.24 2
  71.75 149.12 2
  71.71 149.00 2
  71.67 149.00 2
  71.69 149.10 2
  71.67 149.24 2
  71.67 149.38 2
  71.64 149.48 2
  71.65 149.67 2
  71.69 149.77 2
  71.65 149.92 2
  71.63 150.10 2
  71.62 150.24 2
  71.55 150.33 2
  71.51 150.47 2
  71.48 150.66 2
  71.44 150.66 2
  71.39 150.73 2
  71.38 150.90 2
  71.42 151.21 2
  71.43 151.42 2
  71.44 151.62 2
  71.39 151.65 2
  71.35 151.73 2
  71.29 151.88 2
  71.26 152.00 2
  71.20 152.21 2
  71.16 152.37 2
  71.08 152.34 2
  71.01 152.20 2
  70.98 151.97 2
  70.97 151.78 2
  70.94 151.89 2
  70.94 152.13 2
  70.89 152.30 2
  70.84 152.48 2
  70.79 152.59 2
  70.83 152.73 2
  70.83 152.94 2
  70.87 153.13 2
  70.88 153.18 2
  70.87 153.23 2
  70.89 153.31 2
  70.91 153.38 2
  70.89 153.53 2
  70.91 153.66 2
  70.92 153.86 2
  70.92 154.04 2
  70.89 154.21 2
  70.90 154.34 2
  70.91 154.45 2
  70.94 154.56 2
  70.96 154.62 2
  70.97 154.74 2
  70.95 154.97 2
  70.93 155.22 2
  70.94 155.42 2
  70.98 155.56 2
  70.98 155.77 2
  70.96 155.95 2
  70.99 156.05 2
  71.01 156.28 2
  71.01 156.53 2
  71.00 156.75 2
  71.01 156.95 2
  71.02 157.15 2
  71.01 157.36 2
  71.01 157.65 2
  70.98 157.88 2
  70.98 158.09 2
  70.97 158.36 2
  70.96 158.62 2
  70.94 158.84 2
  70.87 159.00 2
  70.84 159.16 2
  70.78 159.28 2
  70.74 159.35 2
  70.71 159.47 2
  70.63 159.63 2
  70.60 159.72 2
  70.56 159.81 2
  70.53 159.81 2
  70.45 159.92 2
  70.41 160.00 2
  70.37 160.00 2
  70.30 160.04 2
  70.23 160.04 2
  70.17 159.98 2
  70.09 159.92 2
  70.00 159.83 2
  69.92 159.75 2
  69.85 159.68 2
  69.80 159.69 2
  69.79 159.88 2
  69.78 159.99 2
  69.72 160.08 2
  69.72 160.21 2
  69.72 160.47 2
  69.68 160.68 2
  69.63 160.84 2
  69.55 160.99 2
  69.54 161.08 2
  71.61 137.04 3
  71.61 137.05 2
  71.60 137.08 2
  71.57 137.19 2
  71.56 137.30 2
  71.59 137.37 2
  71.58 137.51 2
  71.58 137.73 2
  71.57 137.91 2
  71.53 137.98 2
  71.48 137.86 2
  71.43 137.78 2
  71.46 137.62 2
  71.43 137.49 2
  71.45 137.35 2
  71.47 137.20 2
  71.51 136.96 2
  71.54 136.77 2
  71.56 136.74 2
  71.57 136.79 2
  71.57 136.91 2
  71.60 136.95 2
  71.61 137.02 2
  71.61 137.04 2
  71.53 138.04 3
  71.54 138.06 2
  71.56 138.16 2
  71.58 138.25 2
  71.58 138.35 2
  71.54 138.46 2
  71.58 138.52 2
  71.64 138.53 2
  71.65 138.64 2
  71.62 138.80 2
  71.57 138.94 2
  71.52 138.96 2
  71.49 138.96 2
  71.46 138.95 2
  71.44 138.90 2
  71.41 138.83 2
  71.38 138.73 2
  71.34 138.56 2
  71.35 138.44 2
  71.35 138.32 2
  71.34 138.24 2
  71.33 138.11 2
  71.36 138.00 2
  71.35 137.88 2
  71.40 137.87 2
  71.44 137.99 2
  71.47 138.05 2
  71.51 138.03 2
  71.52 138.03 2
  71.54 138.03 2
  71.53 138.04 2
  72.47 139.97 3
  72.48 140.01 2
  72.46 140.06 2
  72.46 140.18 2
  72.46 140.37 2
  72.48 140.54 2
  72.49 140.68 2
  72.48 140.71 2
  72.43 140.69 2
  72.36 140.59 2
  72.31 140.56 2
  72.26 140.47 2
  72.29 140.45 2
  72.35 140.45 2
  72.36 140.45 2
  72.27 140.35 2
  72.23 140.28 2
  72.24 140.14 2
  72.28 139.96 2
  72.22 139.81 2
  72.23 139.60 2
  72.23 139.53 2
  72.20 139.49 2
  72.18 139.39 2
  72.21 139.27 2
  72.25 139.16 2
  72.29 139.23 2
  72.31 139.37 2
  72.35 139.33 2
  72.39 139.38 2
  72.40 139.51 2
  72.44 139.51 2
  72.49 139.47 2
  72.51 139.61 2
  72.50 139.77 2
  72.50 139.90 2
  72.49 139.96 2
  72.47 139.97 2
  60.72 160.75 3
  60.71 160.57 2
  60.60 160.34 2
  60.57 160.20 2
  60.66 160.18 2
  60.80 160.24 2
  60.92 160.34 2
  61.01 160.44 2
  60.99 160.22 2
  60.93 159.95 2
  60.96 159.87 2
  61.02 159.90 2
  61.05 159.94 2
  61.07 159.99 2
  61.14 160.02 2
  61.20 159.91 2
  61.32 159.91 2
  61.40 160.02 2
  61.49 160.10 2
  61.69 159.86 3
  61.69 159.70 2
  61.68 159.58 2
  61.78 159.51 2
  61.85 159.40 2
  61.92 159.15 2
  61.93 159.03 2
  61.87 158.96 2
  61.84 158.85 2
  61.83 158.70 2
  61.80 158.49 2
  61.79 158.32 2
  61.76 158.11 2
  61.78 157.86 2
  61.78 157.61 2
  61.72 157.45 2
  61.68 157.25 2
  61.57 157.04 2
  61.52 156.92 2
  61.45 156.73 2
  61.32 156.68 2
  61.22 156.63 2
  61.15 156.46 2
  61.03 156.25 2
  60.92 156.05 2
  60.84 155.97 2
  60.76 155.96 2
  60.68 155.80 2
  60.59 155.62 2
  60.53 155.48 2
  60.45 155.32 2
  60.40 155.09 2
  60.32 154.92 2
  60.29 154.85 2
  60.20 154.80 2
  60.09 154.67 2
  59.94 154.55 2
  59.82 154.42 2
  59.82 154.38 2
  59.86 154.27 2
  59.82 154.19 2
  59.71 154.28 2
  59.60 154.36 2
  59.54 154.24 2
  59.47 154.22 2
  59.48 154.41 2
  59.50 154.60 2
  59.46 154.78 2
  59.42 154.99 2
  59.32 155.11 2
  59.23 155.16 2
  59.15 155.14 2
  59.15 154.95 2
  59.11 154.89 2
  59.15 154.78 2
  59.15 154.63 2
  59.16 154.50 2
  59.08 154.45 2
  59.04 154.22 2
  59.05 154.06 2
  59.14 153.92 2
  59.19 153.64 2
  59.13 153.42 2
  59.07 153.39 2
  59.04 153.14 2
  58.95 153.03 2
  58.89 152.89 2
  58.94 152.67 2
  59.01 152.54 2
  58.97 152.36 2
  58.87 152.24 2
  58.83 151.99 2
  58.82 151.74 2
  58.84 151.45 2
  58.90 151.35 2
  59.02 151.19 2
  59.08 151.17 2
  59.13 151.38 2
  59.13 151.59 2
  59.12 151.79 2
  59.14 152.07 2
  59.18 152.28 2
  59.25 152.22 2
  59.26 152.09 2
  59.29 151.86 2
  59.39 151.79 2
  59.48 151.61 2
  59.54 151.44 2
  59.57 151.19 2
  59.55 151.02 2
  59.43 150.94 2
  59.46 150.76 2
  59.50 150.75 2
  59.52 150.66 2
  59.59 150.50 2
  59.58 150.32 2
  59.62 150.17 2
  59.66 149.91 2
  59.70 149.73 2
  59.72 149.48 2
  59.71 149.27 2
  59.64 149.06 2
  59.58 149.04 2
  59.51 149.14 2
  59.46 149.15 2
  59.45 148.91 2
  59.41 148.75 2
  59.33 148.84 2
  59.33 148.91 2
  59.24 148.90 2
  59.22 148.75 2
  59.21 148.66 2
  59.22 148.56 2
  59.29 148.50 2
  59.37 148.37 2
  59.37 148.01 2
  59.33 147.84 2
  59.25 147.84 2
  59.23 147.72 2
  59.23 147.53 2
  59.26 147.39 2
  59.31 147.18 2
  59.35 146.89 2
  59.41 146.70 2
  59.44 146.50 2
  59.41 146.40 2
  59.22 146.38 2
  59.18 146.32 2
  59.14 146.12 2
  59.16 146.00 2
  59.24 145.91 2
  59.36 145.91 2
  59.37 145.88 2
  59.36 145.78 2
  59.39 145.55 2
  59.39 145.35 2
  59.40 145.19 2
  59.37 144.84 2
  59.37 144.45 2
  59.37 144.18 2
  59.35 143.80 2
  59.33 143.43 2
  59.33 143.17 2
  59.29 142.98 2
  59.25 142.86 2
  59.19 142.63 2
  59.07 142.32 2
  99.00   0.00 3
 9XX   1 402  24 250   0 MA 000 2
  85.06 -53.08  3
  85.67 -51.57  2
  86.64 -48.37  2
  87.69 -51.21  2
  88.48 -55.12  2
  89.07 -68.70  2
  89.49-129.46  2
  89.16-169.18  2
  89.07 161.98  2
  88.68 131.33  2
  87.64 132.99  2
  86.69 135.14  2
  85.89 137.69  2
  84.86 138.94  2
  84.08 139.31  2
  83.05 139.81  2
  82.20 139.95  2
  81.46 140.24  2
  80.69 140.27  2
  79.86 139.32  2
  79.01 138.45  2
  78.56 137.30  2
  78.09 136.76  2
  78.48 137.96  3
  99.00   0.00  3
 9XX   1 402  32 250   0 MA 000 5
  84.61 -71.95  3
  85.39 -73.94  2
  86.05 -68.09  2
  86.94 -65.63  2
  87.60 -72.27  2
  88.37 -89.16  2
  88.92-116.43  2
  89.12-145.34  2
  88.79-167.85  2
  88.42 165.41  2
  87.69 153.43  2
  86.81 148.27  2
  85.99 145.53  2
  85.49 145.70  2
  84.93 146.31  2
  84.55 147.37  2
  84.17 147.05  2
  83.43 147.46  2
  82.57 146.63  2
  81.65 146.41  2
  81.00 146.30  2
  80.61 147.48  2
  80.43 148.68  2
  99.00   0.00  3
 91X 503 402 169 200   0 BA 100 5
  84.66 -74.26  3
  84.65 -73.57  2
  84.66 -73.00  2
  84.67 -72.26  2
  84.67 -71.30  2
  84.66 -70.28  2
  84.64 -68.91  2
  84.66 -67.97  2
  84.72 -65.48  2
  84.78 -64.32  2
  84.83 -62.73  2
  84.83 -63.45  3
  84.78 -63.35  2
  84.85 -62.71  3
  84.84 -63.03  2
  84.81 -62.91  2
  84.81 -62.70  2
  84.83 -62.65  2
  84.85 -62.81  2
  84.84 -63.07  2
  84.87 -62.23  3
  84.85 -62.37  2
  84.83 -62.31  2
  84.82 -62.10  2
  84.86 -61.98  2
  84.87 -62.19  2
  84.88 -61.63  3
  84.87 -61.95  2
  84.84 -61.88  2
  84.84 -61.58  2
  84.87 -61.57  2
  84.88 -61.78  2
  84.86 -61.34  3
  84.89 -60.53  2
  84.91 -59.56  2
  84.94 -58.80  2
  84.96 -57.86  2
  85.03 -56.64  2
  85.07 -56.23  2
  85.12 -55.67  2
  85.24 -55.07  2
  85.34 -54.68  2
  85.48 -54.45  2
  85.58 -54.18  2
  85.65 -53.97  2
  85.72 -53.40  2
  85.79 -53.25  2
  85.89 -53.31  2
  85.96 -53.37  2
  86.03 -53.03  2
  86.12 -52.03  2
  86.19 -52.43  2
  86.27 -52.71  2
  86.36 -52.75  2
  86.46 -52.66  2
  86.57 -52.89  2
  86.66 -53.19  2
  86.71 -53.54  2
  86.77 -53.63  2
  86.85 -53.84  2
  86.90 -54.25  2
  86.91 -54.91  2
  86.86 -55.89  2
  86.81 -56.60  2
  86.77 -57.79  2
  86.71 -58.94  2
  86.64 -59.57  2
  86.55 -59.75  2
  86.40 -59.25  2
  86.27 -59.23  2
  86.17 -59.47  2
  86.05 -60.16  2
  85.93 -61.00  2
  85.82 -62.15  2
  85.75 -63.21  2
  85.72 -64.11  2
  85.72 -65.13  2
  85.79 -66.01  2
  85.82 -66.71  2
  85.81 -67.41  2
  85.73 -68.12  2
  85.59 -68.61  2
  85.48 -69.05  2
  85.42 -69.35  2
  85.36 -70.25  2
  85.32 -70.68  2
  85.28 -71.43  2
  85.23 -71.98  2
  85.17 -72.60  2
  85.13 -72.85  2
  85.07 -72.87  2
  84.98 -72.80  2
  84.89 -72.78  2
  84.84 -73.12  2
  84.80 -73.22  2
  84.75 -73.43  2
  84.72 -73.87  2
  84.68 -74.08  2
  84.66 -73.96  2
  88.87 147.92  3
  88.88 147.20  2
  88.87 145.51  2
  88.84 144.17  2
  88.79 143.05  2
  88.74 142.14  2
  88.72 142.30  2
  88.75 143.86  2
  88.79 145.19  2
  88.82 146.10  2
  88.85 147.17  2
  88.87 147.62  2
  87.23 142.60  3
  87.26 142.06  2
  87.29 141.56  2
  87.33 141.27  2
  87.39 141.41  2
  87.43 142.27  2
  87.45 143.65  2
  87.46 144.37  2
  87.45 145.76  2
  87.40 146.99  2
  87.31 147.56  2
  87.25 147.20  2
  87.21 146.50  2
  87.18 145.31  2
  87.18 143.94  2
  87.19 143.30  2
  86.48 151.75  3
  86.56 151.08  2
  86.62 149.94  2
  86.70 148.77  2
  86.73 147.38  2
  86.74 145.95  2
  86.70 144.65  2
  86.64 143.27  2
  86.57 142.06  2
  86.45 141.47  2
  86.33 141.58  2
  86.24 142.10  2
  86.15 143.02  2
  86.11 144.19  2
  86.07 145.71  2
  86.09 146.98  2
  86.13 148.45  2
  86.18 150.00  2
  86.28 151.01  2
  86.38 151.45  2
  86.47 151.47  2
  86.50 151.46  2
  81.50 141.52  3
  81.56 141.49  2
  81.60 141.36  2
  81.56 141.11  2
  81.46 141.12  2
  81.37 141.19  2
  81.30 141.34  2
  81.29 141.51  2
  81.33 141.59  2
  81.44 143.08  3
  81.51 142.92  2
  81.59 142.78  2
  81.58 142.50  2
  81.50 142.46  2
  81.40 142.48  2
  81.33 142.55  2
  81.26 142.63  2
  81.23 142.82  2
  81.29 143.02  2
  81.43 142.05  3
  99.00   0.00  3
 91X 503 402 200 200   0 BA 200 6
  84.54 -59.96  3
  84.62 -58.84  2
  84.64 -58.12  2
  84.70 -57.12  2
  84.72 -56.41  2
  84.73 -56.35  2
  84.78 -55.35  2
  84.82 -54.89  2
  84.90 -54.11  2
  84.97 -53.75  2
  85.06 -53.39  2
  85.17 -52.57  2
  85.25 -51.85  2
  85.34 -51.36  2
  85.41 -51.12  2
  85.47 -50.96  2
  85.56 -51.03  2
  85.68 -51.23  2
  85.79 -51.85  2
  85.87 -52.18  2
  85.96 -52.11  2
  85.99 -51.33  2
  86.07 -50.48  2
  86.17 -50.47  2
  86.32 -50.72  2
  86.44 -50.76  2
  86.57 -50.60  2
  86.68 -50.88  2
  86.75 -51.43  2
  86.81 -50.88  2
  86.90 -50.36  2
  86.97 -50.61  2
  87.03 -51.24  2
  87.10 -51.97  2
  87.19 -51.62  2
  87.28 -51.50  2
  87.34 -51.97  2
  87.38 -52.21  2
  87.46 -51.45  2
  87.54 -51.17  2
  87.64 -51.70  2
  87.76 -53.29  2
  87.86 -54.05  2
  87.95 -54.72  2
  88.03 -54.99  2
  88.13 -54.83  2
  88.22 -54.26  2
  88.28 -54.97  2
  88.34 -55.97  2
  88.39 -57.05  2
  88.44 -58.37  2
  88.48 -59.48  2
  88.49 -60.23  2
  88.52 -60.47  2
  88.56 -62.05  2
  88.63 -64.44  2
  88.67 -67.44  2
  88.75 -71.01  2
  88.83 -73.80  2
  88.90 -72.85  2
  88.99 -73.39  2
  89.05 -78.42  2
  89.11 -82.94  2
  89.19 -89.84  2
  89.21 -94.48  2
  89.16 -94.82  2
  89.15 -98.86  2
  89.23-103.94  2
  89.25-105.67  2
  89.30-105.24  2
  89.30-108.99  2
  89.25-112.61  2
  89.25-116.72  2
  89.25-118.92  2
  89.30-126.75  2
  89.32-131.63  2
  89.29-137.38  2
  89.23-138.15  2
  89.21-138.50  2
  89.17-142.39  2
  89.17-150.19  2
  89.14-161.29  2
  89.10-168.65  2
  89.06-174.71  2
  89.04-177.62  2
  89.00-177.26  2
  88.96-176.42  2
  88.92-176.81  2
  88.88 177.36  2
  88.82 171.84  2
  88.74 166.99  2
  88.67 163.33  2
  88.64 160.67  2
  88.57 156.38  2
  88.49 152.56  2
  88.42 149.52  2
  88.35 148.13  2
  88.36 150.39  2
  88.43 154.11  2
  88.52 160.44  2
  88.62 166.43  2
  88.63 170.04  2
  88.64 173.95  2
  88.66 177.90  2
  88.70-179.12  2
  88.77-174.45  2
  88.84-169.80  2
  88.88-165.88  2
  88.91-158.52  2
  88.95-151.68  2
  88.99-144.20  2
  88.99-138.87  2
  88.99-131.83  2
  88.96-124.33  2
  88.91-119.63  2
  88.85-114.90  2
  88.79-109.91  2
  88.74-103.58  2
  88.70 -98.57  2
  88.66 -94.65  2
  88.58 -89.92  2
  88.51 -85.17  2
  88.45 -82.34  2
  88.34 -78.55  2
  88.23 -75.47  2
  88.12 -72.79  2
  88.03 -71.30  2
  87.92 -72.19  2
  87.82 -73.57  2
  87.71 -73.70  2
  87.57 -72.36  2
  87.44 -70.74  2
  87.30 -69.28  2
  87.13 -68.01  2
  86.97 -66.78  2
  86.96 -67.10  2
  86.84 -66.28  2
  86.70 -65.74  2
  86.60 -65.52  2
  86.49 -65.54  2
  86.41 -66.26  2
  86.39 -66.85  2
  86.27 -67.43  2
  86.20 -68.35  2
  86.12 -69.93  2
  86.03 -72.09  2
  85.96 -73.43  2
  85.93 -75.33  2
  85.81 -76.44  2
  85.76 -77.54  2
  85.65 -78.81  2
  85.61 -80.45  2
  85.57 -81.55  2
  85.42 -82.00  2
  85.38 -81.98  2
  85.19 -81.08  2
  85.10 -80.38  2
  85.01 -79.76  2
  84.92 -79.81  2
  84.87 -80.02  2
  86.65 -70.25  3
  86.71 -70.52  2
  86.82 -71.45  2
  86.91 -72.31  2
  87.01 -73.30  2
  87.17 -74.62  2
  87.36 -76.27  2
  87.50 -77.57  2
  87.66 -79.17  2
  87.85 -82.20  2
  87.98 -85.34  2
  88.12 -89.27  2
  88.27 -94.55  2
  88.32-100.27  2
  88.33-103.31  2
  88.23-100.75  2
  88.12 -97.91  2
  87.96 -95.26  2
  87.82 -94.26  2
  87.63 -93.45  2
  87.51 -91.33  2
  87.43 -89.01  2
  87.35 -86.84  2
  87.34 -84.45  2
  87.31 -81.67  2
  87.23 -78.96  2
  87.13 -76.57  2
  87.01 -74.40  2
  86.85 -72.30  2
  86.75 -71.22  2
  86.66 -70.27  2
  86.64 -70.00  2
  88.99 157.03  3
  89.01 154.99  2
  89.00 150.79  2
  88.96 146.98  2
  88.90 143.71  2
  88.84 141.46  2
  88.77 140.08  2
  88.71 138.73  2
  99.00   0.00  3
 91X 503 402 200 200   0 BA 200 6
  88.65 138.17  3
  88.59 138.37  2
  88.58 140.68  2
  88.63 143.69  2
  88.68 147.16  2
  88.75 149.40  2
  88.81 151.79  2
  88.88 154.66  2
  88.96 157.32  2
  88.98 157.31  2
  89.00 156.17  2
  80.46 147.60  3
  80.48 147.44  2
  80.54 147.17  2
  80.63 146.87  2
  80.70 146.78  2
  80.80 146.60  2
  80.92 146.42  2
  81.00 146.25  2
  81.06 145.88  2
  81.18 145.74  2
  81.32 145.63  2
  81.46 145.66  2
  81.58 145.60  2
  81.67 145.16  2
  81.73 144.96  2
  81.82 144.71  2
  81.88 144.48  2
  81.95 144.31  2
  82.12 144.23  2
  82.20 144.22  2
  82.30 143.48  2
  82.43 143.28  2
  82.48 143.04  2
  82.60 143.10  2
  82.75 143.29  2
  82.85 143.41  2
  82.94 143.38  2
  83.02 143.20  2
  83.07 142.86  2
  83.09 143.57  2
  83.14 144.56  2
  83.21 145.29  2
  83.36 145.76  2
  83.48 145.95  2
  83.52 146.38  2
  83.59 146.62  2
  83.69 146.76  2
  83.75 146.88  2
  83.77 147.86  2
  83.82 148.82  2
  83.96 149.72  2
  84.11 150.37  2
  84.24 150.84  2
  84.34 151.17  2
  84.55 152.11  2
  84.77 153.16  2
  84.93 153.99  2
  85.13 154.75  2
  85.35 155.07  2
  85.56 155.31  2
  85.73 155.36  2
  85.82 155.46  2
  85.95 155.92  2
  86.02 156.25  2
  86.11 156.66  2
  86.20 156.69  2
  86.37 156.71  2
  86.53 156.63  2
  86.69 155.87  2
  86.74 154.84  2
  86.80 154.02  2
  86.88 154.36  2
  86.99 154.92  2
  87.10 154.24  2
  87.12 153.68  2
  87.16 152.37  2
  87.27 151.38  2
  87.42 150.65  2
  87.58 149.81  2
  87.66 149.33  2
  87.73 148.39  2
  87.78 147.34  2
  87.82 145.71  2
  87.83 143.70  2
  87.81 140.50  2
  87.74 138.09  2
  87.69 136.96  2
  87.58 136.14  2
  87.49 136.08  2
  87.39 136.95  2
  87.19 139.19  3
  87.16 139.51  2
  87.17 138.80  2
  87.17 138.42  2
  87.15 138.40  2
  87.14 138.81  2
  87.21 139.16  3
  87.22 138.62  2
  87.22 138.11  2
  87.20 138.03  2
  87.20 138.27  2
  87.20 138.77  2
  87.20 138.97  2
  87.22 138.98  2
  87.26 138.61  3
  87.27 138.12  2
  87.27 137.54  2
  87.26 137.40  2
  87.24 137.77  2
  87.24 138.14  2
  87.25 138.46  2
  87.27 138.56  2
  87.31 138.17  3
  87.31 137.66  2
  87.31 137.07  2
  87.28 137.05  2
  87.29 137.69  2
  87.29 137.95  2
  87.31 138.04  2
  87.14 139.05  3
  87.04 139.54  2
  87.01 139.90  2
  86.93 140.05  2
  86.85 139.85  2
  86.74 139.03  2
  86.63 138.32  2
  86.55 138.12  2
  86.46 138.14  2
  86.35 138.46  2
  86.24 139.13  2
  86.09 140.37  2
  85.98 141.30  2
  85.91 141.79  2
  85.85 142.70  2
  85.80 143.97  2
  85.75 145.15  2
  85.68 145.17  2
  85.62 144.34  2
  85.58 143.59  2
  85.53 143.59  2
  85.46 144.38  2
  85.43 144.96  2
  85.36 145.12  2
  85.29 144.67  2
  85.22 144.51  2
  85.12 145.16  2
  85.06 145.74  2
  85.01 146.70  2
  84.89 146.84  2
  84.80 146.61  2
  84.64 146.04  2
  84.64 145.12  2
  84.59 144.18  2
  84.51 143.30  2
  84.39 142.64  2
  84.27 142.42  2
  84.17 142.37  2
  84.06 142.67  2
  83.97 142.96  2
  83.92 142.71  2
  83.91 141.92  2
  83.88 140.74  2
  83.80 139.74  2
  83.68 138.65  2
  83.57 138.39  2
  83.49 138.42  2
  83.38 138.80  2
  83.23 139.35  2
  83.17 139.59  2
  83.06 138.80  2
  82.96 138.45  2
  82.83 137.94  2
  82.67 137.94  2
  82.57 138.24  2
  82.46 138.49  2
  82.38 138.77  2
  82.32 139.14  2
  82.27 139.88  2
  82.22 140.46  2
  82.13 140.16  2
  82.05 139.79  2
  81.88 139.34  2
  81.81 139.45  2
  81.69 139.27  2
  81.57 139.26  2
  81.51 139.23  2
  81.43 138.99  2
  81.29 139.13  2
  81.17 139.51  2
  81.04 139.82  2
  80.93 139.78  2
  80.77 139.65  2
  80.64 139.26  2
  80.54 139.22  2
  80.39 139.35  2
  80.25 139.71  2
  80.18 140.08  2
  80.12 140.47  2
  80.04 140.75  2
  99.00   0.00  3
 1X1 400 402 200   9   0 AN 005 1
  83.00  -9.91  3
  83.09  -9.86  2
  83.17  -9.79  2
  83.24  -9.70  2
  83.32  -9.55  2
  83.39  -9.55  2
  83.47  -9.44  2
  83.57  -9.28  2
  83.63  -9.18  2
  83.69  -8.86  2
