 9050001 402 137 250   0 BS 000 2
  86.37 -30.07  3
  99.00   0.00  3
 9050007 402  52  54   0 AN 023 2
  86.56 -24.68  3
  86.56 -24.68  2
  86.57 -24.58  2
  86.64 -24.54  2
  86.77 -24.37  2
  86.89 -24.14  2
  86.99 -23.77  2
  87.08 -23.44  2
  87.17 -22.73  2
  87.27 -21.60  2
  87.37 -19.53  2
  87.50 -17.39  2
  87.62 -15.63  2
  87.71 -13.99  2
  87.83 -11.84  2
  87.96  -9.47  2
  88.06  -7.33  2
  88.18  -4.85  2
  88.30  -1.84  2
  88.39   0.40  2
  88.54   3.47  2
  88.68   6.47  2
  88.80   9.02  2
  88.94  12.63  2
  89.07  17.19  2
  89.16  22.03  2
  89.24  26.75  2
  89.29  30.93  2
  86.40 -23.48  3
  86.41 -23.51  2
  86.41 -23.51  2
  86.39 -23.41  2
  86.38 -23.53  2
  86.34 -23.72  2
  86.30 -23.80  2
  86.32 -23.97  2
  86.39 -24.31  2
  86.40 -24.80  2
  86.38 -25.32  2
  86.34 -25.52  2
  86.49 -25.55  3
  86.48 -25.52  2
  86.49 -25.47  2
  86.51 -25.14  2
  86.52 -24.78  2
  86.48 -24.40  2
  86.47 -24.53  2
  86.50 -24.19  2
  86.51 -23.62  2
  86.48 -23.41  2
  86.44 -23.48  2
  86.44 -23.56  3
  99.00   0.00  3
 9050008 402  29  50   0 AN 021 2
  86.93 104.05  3
  86.93 104.05  2
  86.92 104.32  2
  86.87 105.21  2
  86.75 106.26  2
  86.66 107.24  2
  86.53 108.48  2
  86.43 109.72  2
  86.31 111.28  2
  86.20 112.50  2
  86.02 114.19  2
  85.88 115.63  2
  85.70 117.42  2
  85.58 118.82  2
  85.50 119.96  2
  85.28 120.98  3
  85.28 120.98  2
  85.28 120.98  2
  85.35 120.27  2
  85.33 120.62  2
  85.32 121.09  2
  85.33 121.40  2
  85.38 121.66  2
  85.43 121.30  2
  85.25 121.49  3
  85.25 121.49  2
  85.26 121.56  2
  85.32 122.56  2
  85.32 122.56  3
  99.00   0.00  3
 9050009 402  41  46   0 AN 020 2
  86.28 -13.88  3
  86.28 -13.88  2
  86.31 -14.10  2
  86.44 -13.80  2
  86.61 -13.17  2
  86.73 -12.64  2
  86.86 -11.55  2
  87.00 -10.06  2
  87.15  -7.57  2
  87.31  -4.74  2
  87.43  -1.89  2
  87.50   0.94  2
  87.62   4.82  2
  87.66   8.55  2
  87.72  10.72  2
  87.81  12.05  2
  87.87  16.24  2
  87.93  19.40  2
  87.98  21.30  2
  88.10  24.75  2
  88.22  28.11  2
  88.32  32.31  2
  88.43  36.32  2
  88.51  39.59  2
  86.10 -13.58  3
  86.10 -13.58  2
  86.05 -13.82  2
  86.02 -13.88  2
  86.06 -13.91  2
  86.12 -14.30  2
  86.13 -14.60  2
  86.08 -15.23  2
  86.18 -13.35  3
  86.17 -13.33  2
  86.15 -13.85  2
  86.17 -14.82  2
  86.21 -15.09  2
  86.24 -14.75  2
  86.24 -14.06  2
  86.20 -13.52  2
  86.17 -13.41  3
  99.00   0.00  3
 9050011 402  31  43   0 VO 000 1
  85.49 -13.43  3
  85.49 -13.43  2
  85.47 -13.72  2
  85.28 -15.51  2
  85.05 -17.56  2
  84.81 -19.50  2
  84.58 -21.24  2
  84.37 -23.04  2
  84.22 -24.37  2
  84.08 -25.54  2
  83.94 -26.61  2
  83.90 -27.03  2
  83.90 -27.03  3
  85.51 -13.58  3
  85.51 -13.56  2
  85.49 -13.30  2
  85.37 -12.53  2
  85.18 -12.98  2
  84.96 -14.52  2
  84.77 -15.97  2
  84.62 -17.02  2
  84.47 -18.08  2
  84.31 -19.32  2
  84.13 -20.97  2
  84.00 -22.42  2
  83.91 -23.90  2
  83.87 -24.76  2
  83.86 -25.66  2
  83.86 -26.59  2
  83.89 -27.32  2
  83.89 -27.32  3
  99.00   0.00  3
 9050013 402  41  36   0 AN 013 1
  86.08  -5.47  3
  86.08  -5.47  2
  86.09  -5.48  2
  86.14  -4.82  2
  86.24  -3.94  2
  86.36  -2.68  2
  86.44  -1.60  2
  86.53  -0.19  2
  86.59   1.19  2
  86.67   3.02  2
  86.75   5.12  2
  86.84   8.27  2
  86.92  10.46  2
  87.01  11.97  2
  87.11  14.51  2
  87.18  16.70  2
  87.22  18.89  2
  87.30  22.17  2
  87.40  25.95  2
  87.50  28.80  2
  87.59  31.85  2
  87.65  35.32  2
  87.70  37.86  2
  87.77  40.34  2
  87.82  42.99  2
  87.85  45.02  2
  85.94  -6.13  3
  85.93  -6.13  2
  85.94  -6.13  2
  85.97  -6.34  2
  86.02  -6.81  2
  85.97  -5.25  3
  85.97  -5.18  2
  86.01  -4.99  2
  86.05  -5.35  2
  86.04  -5.89  2
  86.03  -5.96  2
  86.10  -5.82  2
  86.10  -6.14  2
  86.06  -6.49  2
  86.06  -6.56  3
  99.00   0.00  3
 9050014 402  27  26   0 AN 007 1
  85.84  -1.69  3
  85.84  -1.69  2
  85.91  -1.18  2
  86.01  -0.34  2
  86.13   0.79  2
  86.22   1.72  2
  86.33   2.38  2
  86.47   3.46  2
  86.56   4.74  2
  86.65   7.52  2
  86.71  10.36  2
  86.80  14.35  2
  86.91  18.73  2
  87.03  22.36  2
  87.17  25.59  2
  87.32  29.31  2
  87.40  32.80  2
  87.45  36.54  2
  87.57  40.51  2
  87.69  43.76  2
  85.71  -2.09  3
  85.71  -2.09  2
  85.75  -2.18  2
  85.82  -2.66  2
  85.83  -2.74  2
  85.76  -3.37  2
  85.74  -3.57  3
  99.00   0.00  3
 9050015 402  39  10   0 AN 005 1
  85.66  98.43  3
  85.66  98.51  2
  85.65  98.64  2
  85.56 100.11  2
  85.45 101.68  2
  85.35 102.79  2
  85.21 104.42  2
  85.05 106.19  2
  84.93 107.13  2
  84.79 108.36  2
  84.63 109.84  2
  84.53 110.73  2
  84.43 111.82  2
  84.27 113.25  2
  84.18 113.83  2
  84.06 114.73  2
  83.91 115.57  2
  83.76 116.36  2
  83.62 116.86  2
  83.48 117.26  2
  83.32 117.76  2
  83.21 118.01  2
  83.08 118.40  2
  82.93 118.70  2
  82.79 118.85  2
  82.64 119.19  2
  82.48 119.62  2
  82.31 119.99  2
  82.15 120.48  2
  82.06 120.68  2
  81.99 120.89  2
  81.95 121.04  2
  81.85 120.85  3
  81.85 120.85  2
  81.82 120.87  2
  81.77 121.10  2
  81.77 121.27  2
  81.80 121.41  2
  81.85 121.38  2
  81.87 121.27  2
  81.88 121.66  2
  81.87 121.71  2
  81.80 122.07  2
  85.52   4.58  3
  85.52   4.65  2
  85.53   4.65  2
  85.59   5.22  2
  85.65   6.10  2
  85.73   7.48  2
  85.80   8.66  2
  85.88  10.60  2
  85.97  12.51  2
  86.04  14.20  2
  86.11  15.88  2
  86.18  17.42  2
  86.27  18.89  2
  86.33  20.03  2
  86.36  21.17  2
  86.39  23.23  2
  86.43  25.40  2
  86.47  27.33  2
  86.52  28.83  2
  86.58  30.27  2
  86.65  31.87  2
  86.73  33.61  2
  86.80  34.94  2
  86.85  36.82  2
  86.91  38.70  2
  86.96  39.99  2
  87.06  41.87  2
  87.15  44.19  2
  85.39   3.35  3
  85.39   3.35  2
  85.39   3.35  2
  85.39   3.35  2
  85.44   4.28  2
  85.48   4.05  2
  85.47   3.48  2
  85.46   2.92  2
  85.49   2.46  2
  85.55   2.98  2
  85.58   3.50  3
  99.00   0.00  3
 9050017 402 133   1   0 RI 005 1
  68.73 131.52  3
  68.76 131.56  2
  68.86 131.60  2
  68.98 131.68  2
  69.10 131.76  2
  69.23 131.81  2
  69.37 131.92  2
  69.55 132.05  2
  69.72 132.15  2
  69.89 132.28  2
  70.09 132.40  2
  70.32 132.48  2
  70.48 132.54  2
  70.60 132.61  2
  70.76 132.64  2
  70.98 132.71  2
  71.24 132.75  2
  71.57 132.75  2
  71.87 132.74  2
  72.21 132.70  2
  72.48 132.69  2
  72.76 132.71  2
  73.03 132.66  2
  73.25 132.57  2
  73.44 132.38  2
  73.66 132.31  2
  74.02 132.21  2
  74.20 132.19  2
  74.46 132.13  2
  74.72 132.00  2
  74.94 131.88  2
  75.21 131.71  2
  75.48 131.52  2
  75.75 131.38  2
  75.96 131.29  2
  76.17 131.30  2
  76.42 131.32  2
  76.68 131.33  2
  76.88 131.41  2
  76.96 131.51  2
  76.96 131.02  2
  76.93 130.23  2
  76.92 128.88  2
  76.88 128.02  2
  76.87 127.58  2
  76.88 127.63  2
  76.95 127.47  2
  77.13 127.24  2
  77.50 126.76  2
  77.75 126.43  2
  78.09 126.12  2
  78.30 126.02  2
  78.62 125.55  2
  78.96 125.05  2
  79.29 124.52  2
  79.58 124.14  2
  79.82 123.68  2
  80.07 123.24  2
  80.39 122.59  2
  80.71 121.94  2
  80.89 121.31  2
  81.21 120.38  2
  81.49 119.64  2
  81.79 119.31  2
  82.07 118.71  2
  82.35 117.97  2
  82.61 117.23  2
  82.91 116.34  2
  83.18 115.60  2
  83.50 114.52  2
  83.78 113.38  2
  84.04 111.84  2
  84.27 109.91  2
  84.41 108.51  2
  84.56 106.35  2
  84.78 104.24  2
  84.96 101.90  2
  85.09  99.43  2
  85.19  96.87  2
  85.31  93.89  2
  85.43  90.22  2
  85.57  86.06  2
  85.69  82.59  2
  85.76  80.83  2
  85.85  79.11  2
  85.97  77.12  2
  86.21  73.11  2
  86.37  70.29  2
  86.48  69.47  2
  86.56  69.50  2
  86.67  66.70  2
  86.72  66.45  2
  86.80  65.48  2
  86.85  62.31  2
  86.88  62.21  2
  86.94  61.19  2
  86.93  57.03  2
  86.90  53.35  2
  86.84  49.51  2
  86.74  46.65  2
  86.66  45.81  2
  86.61  44.23  2
