 91X  12 102 290   1   0 RI 000 1
  82.83  -6.91  3
  82.82  -6.95  2
  82.81  -6.94  2
  82.65  -6.02  2
  82.48  -5.18  2
  82.40  -4.75  2
  82.20  -5.47  2
  82.01  -6.22  2
  81.94  -5.97  2
  81.74  -4.69  2
  81.55  -3.54  2
  81.36  -2.42  2
  81.29  -2.04  2
  81.14  -2.54  2
  80.95  -3.25  2
  80.83  -3.62  2
  80.68  -2.79  2
  80.60  -2.50  2
  80.44  -2.95  2
  80.39  -2.52  2
  80.25  -1.17  2
  80.14  -0.20  2
  80.05   0.46  2
  79.95   1.26  2
  79.83   2.23  2
  79.68   3.35  2
  79.56   4.15  2
  79.53   4.29  2
  79.29   3.66  2
  79.16   3.35  2
  79.13   3.37  2
  79.00   4.18  2
  78.79   5.22  2
  78.57   6.32  2
  78.44   6.90  2
  78.39   7.14  2
  78.39   7.14  2
  78.21   7.16  2
  77.96   7.22  2
  77.80   7.41  2
  77.64   7.41  2
  77.49   7.47  2
  77.31   7.45  2
  77.11   7.38  2
  76.82   7.31  2
  76.65   7.24  2
  76.39   7.16  2
  76.15   7.29  2
  75.88   7.43  2
  75.74   7.51  2
  75.68   7.54  2
  75.53   7.64  2
  75.30   7.98  2
  75.06   8.23  2
  74.88   8.40  2
  74.68   8.63  2
  74.47   8.75  2
  74.21   8.83  2
  73.97   8.80  2
  73.75   8.66  2
  73.49   8.14  2
  73.35   7.58  2
  73.24   6.91  2
  73.13   6.21  2
  73.04   5.49  2
  72.93   4.83  2
  72.80   4.32  2
  72.71   3.83  2
  72.62   3.32  2
  72.52   2.57  2
  72.39   1.84  2
  72.25   1.16  2
  72.20   0.90  2
  72.12   0.39  2
  72.03  -0.15  2
  71.89  -0.87  2
  71.83  -1.39  2
  71.71  -2.18  2
  71.64  -2.80  2
  71.50  -3.72  2
  71.39  -4.47  2
  71.32  -4.83  2
  71.42  -5.46  2
  71.31  -5.92  2
  71.07  -6.67  2
  70.99  -6.92  2
  70.99  -6.92  2
  70.99  -6.94  2
  71.10  -7.42  2
  71.26  -8.46  2
  71.41  -9.49  2
  71.64 -10.73  2
  71.79 -11.51  2
  71.69 -11.87  2
  71.46 -12.42  2
  71.19 -13.01  2
  70.98 -13.46  2
  70.83 -13.77  2
  70.84 -13.99  2
  70.87 -14.44  2
  70.67 -14.71  2
  70.35 -15.15  2
  70.02 -15.50  2
  69.54 -16.01  2
  69.25 -16.27  2
  68.96 -16.48  2
  68.96 -17.02  2
  69.00 -17.30  2
  68.79 -17.57  2
  68.47 -17.90  2
  68.17 -18.22  2
  67.91 -18.45  2
  67.62 -18.66  2
  67.40 -18.76  2
  67.22 -18.82  2
  67.13 -18.86  2
  67.01 -18.88  2
  55.06 -35.10  3
  55.11 -35.12  2
  55.20 -35.09  2
  55.32 -35.05  2
  55.48 -35.03  2
  55.65 -35.02  2
  55.82 -34.96  2
  55.96 -34.97  2
  56.09 -34.92  2
  56.24 -34.86  2
  56.38 -34.76  2
  56.52 -34.62  2
  56.65 -34.50  2
  56.76 -34.37  2
  56.88 -34.17  2
  56.99 -34.05  2
  57.07 -33.95  2
  57.24 -33.68  2
  57.38 -33.48  2
  57.54 -33.27  2
  57.69 -33.06  2
  57.82 -32.90  2
  57.98 -32.64  2
  58.10 -32.50  2
  58.24 -32.35  2
  58.39 -32.16  2
  58.55 -31.90  2
  58.75 -31.61  2
  58.86 -31.44  2
  58.98 -31.26  2
  59.06 -31.12  2
  59.16 -30.98  2
  59.24 -30.83  2
  59.33 -30.60  2
  59.44 -30.37  2
  59.54 -30.13  2
  59.66 -29.94  2
  59.77 -29.79  2
  59.91 -29.59  2
  60.02 -29.43  2
  60.15 -29.23  2
  60.22 -29.12  2
  60.32 -28.97  2
  60.45 -28.82  2
  60.56 -28.66  2
  60.68 -28.49  2
  60.78 -28.35  2
  60.78 -28.35  2
  60.88 -28.24  2
  60.94 -28.13  2
  61.08 -27.92  2
  61.19 -27.74  2
  61.38 -27.43  2
  61.57 -27.15  2
  61.76 -26.88  2
  61.85 -26.73  2
  61.98 -26.54  2
  62.07 -26.35  2
  62.22 -26.09  2
  62.32 -25.94  2
  62.45 -25.75  2
  62.56 -25.58  2
  62.66 -25.41  2
  62.73 -25.31  2
  62.82 -25.18  2
  62.91 -25.02  2
  63.02 -24.75  2
  63.09 -24.55  2
  63.18 -24.39  2
  63.24 -24.33  2
  63.33 -24.14  2
  63.37 -24.01  2
  63.45 -23.84  2
  63.53 -23.66  2
  63.59 -23.45  2
  63.68 -23.20  2
  63.75 -23.01  2
  63.80 -22.83  2
  63.86 -22.59  2
  63.90 -22.48  2
  63.95 -22.20  2
  64.01 -21.89  2
  64.05 -21.54  2
  64.10 -21.14  2
  64.15 -20.81  2
  64.22 -20.54  2
  64.32 -20.25  2
  64.39 -19.99  2
  64.49 -19.62  2
  64.60 -19.34  2
  64.73 -19.07  2
  64.84 -18.91  2
  64.97 -18.75  2
  65.07 -18.61  2
  65.22 -18.38  2
  65.33 -18.29  2
  65.47 -18.29  2
  65.62 -18.37  2
  65.81 -18.47  2
  65.95 -18.44  2
  66.00 -18.47  2
  66.11 -18.55  2
  66.23 -18.63  2
  66.38 -18.68  2
  66.47 -18.73  2
  66.59 -18.77  2
  66.68 -18.80  2
  66.76 -18.82  2
  66.89 -18.86  2
  67.01 -18.85  2
  67.12 -18.81  2
  67.25 -18.73  2
  67.41 -18.66  2
  67.55 -18.64  2
  67.65 -18.62  2
  67.77 -18.60  2
  67.88 -18.53  2
  67.98 -18.44  2
  68.08 -18.33  2
  68.21 -18.20  2
  68.30 -18.18  2
  68.41 -18.09  2
  68.48 -17.94  2
  68.59 -17.75  2
  68.68 -17.56  2
  68.75 -17.40  2
  68.89 -17.22  2
  68.94 -17.16  2
  68.97 -17.12  2
  68.95 -16.96  2
  68.94 -16.71  2
  68.92 -16.50  2
  68.92 -16.38  2
  68.99 -16.35  2
